Labirinto 1
###############
#---##------###
#------###---##
###-----#-----#
#I------###--##
###----------##
#F-----####--##
#---#---------#
#------####---#
###############
Solução do Labirinto 1
############### 
#---##------### 
#------###---## 
###-----#-----# 
#Ioo----###--## 
###o---------## 
#ooo---####--## 
#---#---------# 
#------####---# 
############### 
Geração : 336	Fitness : -455.67	Fitness Melhor : 1000	
Geração : 337	Fitness : -228.79	Fitness Melhor : 1000	
Geração : 338	Fitness : -186.97	Fitness Melhor : 1000	
Geração : 339	Fitness : -187.9	Fitness Melhor : 1000	
Geração : 340	Fitness : -287.68	Fitness Melhor : 1000	
Geração : 341	Fitness : -178.73	Fitness Melhor : 1000	
Geração : 342	Fitness : -380.34	Fitness Melhor : 1000	
Geração : 343	Fitness : -306.91	Fitness Melhor : 1000	
Geração : 344	Fitness : -248.08	Fitness Melhor : 1000	
Geração : 345	Fitness : -299.51	Fitness Melhor : 1000	
Geração : 346	Fitness : -234.18	Fitness Melhor : 1000	
Geração : 347	Fitness : -393.92	Fitness Melhor : 1000	
Geração : 348	Fitness : -204.84	Fitness Melhor : 1000	
Geração : 349	Fitness : -211.95	Fitness Melhor : 1000	
Geração : 350	Fitness : -303.32	Fitness Melhor : 1000	
Geração : 351	Fitness : -183.33	Fitness Melhor : 1000	
Geração : 352	Fitness : -269.36	Fitness Melhor : 1000	
Geração : 353	Fitness : -345.85	Fitness Melhor : 1000	
Geração : 354	Fitness : -388.35	Fitness Melhor : 1000	
Geração : 355	Fitness : -286.74	Fitness Melhor : 1000	
Geração : 356	Fitness : -277.98	Fitness Melhor : 1000	
Geração : 357	Fitness : -359.11	Fitness Melhor : 1000	
Geração : 358	Fitness : -79.07	Fitness Melhor : 1000	
Geração : 359	Fitness : -282.23	Fitness Melhor : 1000	
Geração : 360	Fitness : -390.43	Fitness Melhor : 1000	
Geração : 361	Fitness : -379.11	Fitness Melhor : 1000	
Geração : 362	Fitness : -229.36	Fitness Melhor : 1000	
Geração : 363	Fitness : -374.97	Fitness Melhor : 1000	
Geração : 364	Fitness : -214.3	Fitness Melhor : 1000	
Geração : 365	Fitness : -530.37	Fitness Melhor : 1000	
Geração : 366	Fitness : -528.62	Fitness Melhor : 1000	
Geração : 367	Fitness : -319.08	Fitness Melhor : 1000	
Geração : 368	Fitness : -289.94	Fitness Melhor : 1000	
Geração : 369	Fitness : -219.92	Fitness Melhor : 1000	
Geração : 370	Fitness : -262.58	Fitness Melhor : 1000	
Geração : 371	Fitness : -44.32	Fitness Melhor : 1000	
Geração : 372	Fitness : -220.18	Fitness Melhor : 1000	
Geração : 373	Fitness : -219.74	Fitness Melhor : 1000	
Geração : 374	Fitness : -591.14	Fitness Melhor : 1000	
Geração : 375	Fitness : -547.3	Fitness Melhor : 1000	
Geração : 376	Fitness : -434.81	Fitness Melhor : 1000	
Geração : 377	Fitness : -486.39	Fitness Melhor : 1000	
Geração : 378	Fitness : -240.28	Fitness Melhor : 1000	
Geração : 379	Fitness : -475.01	Fitness Melhor : 1000	
Geração : 380	Fitness : -314.74	Fitness Melhor : 1000	
Geração : 381	Fitness : -727.63	Fitness Melhor : 1000	
Geração : 382	Fitness : -147.35	Fitness Melhor : 1000	
Geração : 383	Fitness : -290.72	Fitness Melhor : 1000	
Geração : 384	Fitness : -424.27	Fitness Melhor : 1000	
Geração : 385	Fitness : -420.77	Fitness Melhor : 1000	
Geração : 386	Fitness : -461.7	Fitness Melhor : 1000	
Geração : 387	Fitness : -257.59	Fitness Melhor : 1000	
Geração : 388	Fitness : -566.78	Fitness Melhor : 1000	
