Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 241	Fitness : -244.46	Fitness Melhor : 1000	
Geração : 242	Fitness : -20.54	Fitness Melhor : 1000	
Geração : 243	Fitness : -155.7	Fitness Melhor : 1000	
Geração : 244	Fitness : -71.61	Fitness Melhor : 1000	
Geração : 245	Fitness : -13.39	Fitness Melhor : 1000	
Geração : 246	Fitness : -85.3	Fitness Melhor : 1000	
Geração : 247	Fitness : -245.48	Fitness Melhor : 1000	
Geração : 248	Fitness : 26.02	Fitness Melhor : 1000	
Geração : 249	Fitness : -114.36	Fitness Melhor : 1000	
Geração : 250	Fitness : -115.86	Fitness Melhor : 1000	
Geração : 251	Fitness : -93.48	Fitness Melhor : 1000	
Geração : 252	Fitness : -60.1	Fitness Melhor : 1000	
Geração : 253	Fitness : -91.69	Fitness Melhor : 1000	
Geração : 254	Fitness : -238.72	Fitness Melhor : 1000	
Geração : 255	Fitness : -9.37	Fitness Melhor : 1000	
Geração : 256	Fitness : -218.04	Fitness Melhor : 1000	
Geração : 257	Fitness : -298.75	Fitness Melhor : 1000	
Geração : 258	Fitness : -5.45	Fitness Melhor : 1000	
Geração : 259	Fitness : -235.57	Fitness Melhor : 1000	
Geração : 260	Fitness : -46.23	Fitness Melhor : 1000	
Geração : 261	Fitness : -118.98	Fitness Melhor : 1000	
Geração : 262	Fitness : -55.08	Fitness Melhor : 1000	
Geração : 263	Fitness : -185.7	Fitness Melhor : 1000	
Geração : 264	Fitness : -55.72	Fitness Melhor : 1000	
Geração : 265	Fitness : -139.59	Fitness Melhor : 1000	
Geração : 266	Fitness : -48.2	Fitness Melhor : 1000	
Geração : 267	Fitness : -157.99	Fitness Melhor : 1000	
Geração : 268	Fitness : -166.55	Fitness Melhor : 1000	
Geração : 269	Fitness : -123.09	Fitness Melhor : 1000	
Geração : 270	Fitness : -40.1	Fitness Melhor : 1000	
Geração : 271	Fitness : 23.12	Fitness Melhor : 1000	
Geração : 272	Fitness : -32.0	Fitness Melhor : 1000	
Geração : 273	Fitness : -111.93	Fitness Melhor : 1000	
Geração : 274	Fitness : -34.29	Fitness Melhor : 1000	
Geração : 275	Fitness : -37.58	Fitness Melhor : 1000	
Geração : 276	Fitness : -98.73	Fitness Melhor : 1000	
Geração : 277	Fitness : -52.02	Fitness Melhor : 1000	
Geração : 278	Fitness : 9.63	Fitness Melhor : 1000	
Geração : 279	Fitness : -4.27	Fitness Melhor : 1000	
Geração : 280	Fitness : -235.98	Fitness Melhor : 1000	
Geração : 281	Fitness : -9.04	Fitness Melhor : 1000	
