Geração : 230	Fitness : -255.93	Fitness Melhor : 1000	
Geração : 231	Fitness : -193.51	Fitness Melhor : 1000	
Geração : 232	Fitness : -332.02	Fitness Melhor : 1000	
Geração : 233	Fitness : -164.64	Fitness Melhor : 1000	
Geração : 234	Fitness : -244.09	Fitness Melhor : 1000	
Geração : 235	Fitness : -107.54	Fitness Melhor : 1000	
Geração : 236	Fitness : -113.1	Fitness Melhor : 1000	
Geração : 237	Fitness : -161.15	Fitness Melhor : 1000	
Geração : 238	Fitness : -367.51	Fitness Melhor : 1000	
Geração : 239	Fitness : -205.4	Fitness Melhor : 1000	
Geração : 240	Fitness : -261.64	Fitness Melhor : 1000	
Geração : 241	Fitness : -148.46	Fitness Melhor : 1000	
Geração : 242	Fitness : -433.29	Fitness Melhor : 1000	
Geração : 243	Fitness : -317.38	Fitness Melhor : 1000	
Geração : 244	Fitness : -379.04	Fitness Melhor : 1000	
Geração : 245	Fitness : -429.31	Fitness Melhor : 1000	
Geração : 246	Fitness : -273.77	Fitness Melhor : 1000	
Geração : 247	Fitness : -491.76	Fitness Melhor : 1000	
Geração : 248	Fitness : -255.76	Fitness Melhor : 1000	
Geração : 249	Fitness : -276.82	Fitness Melhor : 1000	
Geração : 250	Fitness : -290.65	Fitness Melhor : 1000	
Geração : 251	Fitness : -323.18	Fitness Melhor : 1000	
Geração : 252	Fitness : -163.51	Fitness Melhor : 1000	
Geração : 253	Fitness : -232.47	Fitness Melhor : 1000	
Geração : 254	Fitness : -263.73	Fitness Melhor : 1000	
Geração : 255	Fitness : -484.57	Fitness Melhor : 1000	
Geração : 256	Fitness : -194.39	Fitness Melhor : 1000	
Geração : 257	Fitness : -186.95	Fitness Melhor : 1000	
Geração : 258	Fitness : -315.06	Fitness Melhor : 1000	
Geração : 259	Fitness : -339.4	Fitness Melhor : 1000	
Geração : 260	Fitness : -265.17	Fitness Melhor : 1000	
Geração : 261	Fitness : -250.23	Fitness Melhor : 1000	
Geração : 262	Fitness : -179.16	Fitness Melhor : 1000	
Geração : 263	Fitness : -200.53	Fitness Melhor : 1000	
Geração : 264	Fitness : -420.66	Fitness Melhor : 1000	
