
Solução nova :

############### 
#Ioooooo-----o# 
#------ooooooo# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 337	Fitness : -93.23	Fitness Melhor : 1000	
Geração : 338	Fitness : -127.97	Fitness Melhor : 1000	
Geração : 339	Fitness : -17.5	Fitness Melhor : 1000	
Geração : 340	Fitness : -17.97	Fitness Melhor : 1000	
Geração : 341	Fitness : -181.12	Fitness Melhor : 1000	
Geração : 342	Fitness : -42.81	Fitness Melhor : 1000	
Geração : 343	Fitness : -231.84	Fitness Melhor : 1000	
Geração : 344	Fitness : -143.86	Fitness Melhor : 1000	
Geração : 345	Fitness : -28.2	Fitness Melhor : 1000	
Geração : 346	Fitness : -131.59	Fitness Melhor : 1000	
Geração : 347	Fitness : -213.76	Fitness Melhor : 1000	
Geração : 348	Fitness : 36.93	Fitness Melhor : 1000	
Geração : 349	Fitness : -26.01	Fitness Melhor : 1000	
Geração : 350	Fitness : -79.7	Fitness Melhor : 1000	
Geração : 351	Fitness : -118.06	Fitness Melhor : 1000	
Geração : 352	Fitness : -1.36	Fitness Melhor : 1000	
Geração : 353	Fitness : -143.66	Fitness Melhor : 1000	
Geração : 354	Fitness : -195.09	Fitness Melhor : 1000	
Geração : 355	Fitness : -11.79	Fitness Melhor : 1000	
Geração : 356	Fitness : -68.41	Fitness Melhor : 1000	
Geração : 357	Fitness : -203.83	Fitness Melhor : 1000	
Geração : 358	Fitness : -120.22	Fitness Melhor : 1000	
Geração : 359	Fitness : -107.27	Fitness Melhor : 1000	
Geração : 360	Fitness : -96.39	Fitness Melhor : 1000	
Geração : 361	Fitness : -224.58	Fitness Melhor : 1000	
Geração : 362	Fitness : -116.23	Fitness Melhor : 1000	
Geração : 363	Fitness : -107.57	Fitness Melhor : 1000	
Geração : 364	Fitness : -60.3	Fitness Melhor : 1000	
Geração : 365	Fitness : -41.87	Fitness Melhor : 1000	
Geração : 366	Fitness : -33.68	Fitness Melhor : 1000	
Geração : 367	Fitness : -36.17	Fitness Melhor : 1000	
Geração : 368	Fitness : -117.81	Fitness Melhor : 1000	
Geração : 369	Fitness : -78.98	Fitness Melhor : 1000	
Geração : 370	Fitness : 9.13	Fitness Melhor : 1000	
Geração : 371	Fitness : -106.73	Fitness Melhor : 1000	
Geração : 372	Fitness : 36.51	Fitness Melhor : 1000	
Geração : 373	Fitness : -115.31	Fitness Melhor : 1000	
Geração : 374	Fitness : -341.2	Fitness Melhor : 1000	
Geração : 375	Fitness : -96.12	Fitness Melhor : 1000	
Geração : 376	Fitness : -104.66	Fitness Melhor : 1000	
Geração : 377	Fitness : -50.77	Fitness Melhor : 1000	
Geração : 378	Fitness : -72.26	Fitness Melhor : 1000	
Geração : 379	Fitness : -163.6	Fitness Melhor : 1000	
Geração : 380	Fitness : 19.68	Fitness Melhor : 1000	
Geração : 381	Fitness : -128.26	Fitness Melhor : 1000	
Geração : 382	Fitness : -204.71	Fitness Melhor : 1000	
Geração : 383	Fitness : -322.43	Fitness Melhor : 1000	
Geração : 384	Fitness : -79.95	Fitness Melhor : 1000	
Geração : 385	Fitness : -146.24	Fitness Melhor : 1000	
Geração : 386	Fitness : -122.95	Fitness Melhor : 1000	
Geração : 387	Fitness : -346.79	Fitness Melhor : 1000	
Geração : 388	Fitness : -114.69	Fitness Melhor : 1000	
Geração : 389	Fitness : -86.02	Fitness Melhor : 1000	
Geração : 390	Fitness : -71.57	Fitness Melhor : 1000	
Geração : 391	Fitness : 48.08	Fitness Melhor : 1000	
Geração : 392	Fitness : -109.06	Fitness Melhor : 1000	
Geração : 393	Fitness : -210.66	Fitness Melhor : 1000	
