

Labirinto 2
###############
#I--#---#-----#
#-------#--####
###-----#-----#
#F------#-----#
######--#-----#
#---------#---#
#------#--#---#
#------#--#---#
###############

Solução do Labirinto 2
############### 
#o--#---#-----# 
#ooo----#--#### 
###o----#-----# 
#ooo----#-----# 
######--#-----# 
#---------#---# 
#------#--#---# 
#------#--#---# 
############### 

Geração : 290	Fitness : -476.45	Fitness Melhor : 1000	
Geração : 291	Fitness : -371.87	Fitness Melhor : 1000	
Geração : 292	Fitness : -254.35	Fitness Melhor : 1000	
Geração : 293	Fitness : -170.65	Fitness Melhor : 1000	
Geração : 294	Fitness : -270.57	Fitness Melhor : 1000	
Geração : 295	Fitness : -437.72	Fitness Melhor : 1000	
Geração : 296	Fitness : -487.99	Fitness Melhor : 1000	
Geração : 297	Fitness : -275.99	Fitness Melhor : 1000	
Geração : 298	Fitness : -264.92	Fitness Melhor : 1000	
Geração : 299	Fitness : -252.99	Fitness Melhor : 1000	
Geração : 300	Fitness : -636.18	Fitness Melhor : 1000	
Geração : 301	Fitness : -293.46	Fitness Melhor : 1000	
Geração : 302	Fitness : -331.09	Fitness Melhor : 1000	
Geração : 303	Fitness : -290.55	Fitness Melhor : 1000	
Geração : 304	Fitness : -220.94	Fitness Melhor : 1000	
Geração : 305	Fitness : -359.87	Fitness Melhor : 1000	
Geração : 306	Fitness : -361.87	Fitness Melhor : 1000	
Geração : 307	Fitness : -425.97	Fitness Melhor : 1000	
Geração : 308	Fitness : -421.1	Fitness Melhor : 1000	
Geração : 309	Fitness : -176.44	Fitness Melhor : 1000	
Geração : 310	Fitness : -250.04	Fitness Melhor : 1000	
Geração : 311	Fitness : -416.98	Fitness Melhor : 1000	
Geração : 312	Fitness : -91.28	Fitness Melhor : 1000	
Geração : 313	Fitness : -395.02	Fitness Melhor : 1000	
Geração : 314	Fitness : -155.31	Fitness Melhor : 1000	
Geração : 315	Fitness : -234.0	Fitness Melhor : 1000	
Geração : 316	Fitness : -334.39	Fitness Melhor : 1000	
Geração : 317	Fitness : -244.8	Fitness Melhor : 1000	
Geração : 318	Fitness : -182.62	Fitness Melhor : 1000	
Geração : 319	Fitness : -642.33	Fitness Melhor : 1000	
Geração : 320	Fitness : -295.21	Fitness Melhor : 1000	
Geração : 321	Fitness : -385.51	Fitness Melhor : 1000	
Geração : 322	Fitness : -244.0	Fitness Melhor : 1000	
Geração : 323	Fitness : -286.45	Fitness Melhor : 1000	
Geração : 324	Fitness : -230.94	Fitness Melhor : 1000	
Geração : 325	Fitness : -435.07	Fitness Melhor : 1000	
Geração : 326	Fitness : -287.06	Fitness Melhor : 1000	
Geração : 327	Fitness : -126.96	Fitness Melhor : 1000	
Geração : 328	Fitness : -390.44	Fitness Melhor : 1000	
Geração : 329	Fitness : -390.07	Fitness Melhor : 1000	
Geração : 330	Fitness : -320.3	Fitness Melhor : 1000	
Geração : 331	Fitness : -362.05	Fitness Melhor : 1000	
Geração : 332	Fitness : -248.51	Fitness Melhor : 1000	
Geração : 333	Fitness : -458.11	Fitness Melhor : 1000	
Geração : 334	Fitness : -308.61	Fitness Melhor : 1000	
Geração : 335	Fitness : -140.9	Fitness Melhor : 1000	
