Geração : 225	Fitness : -159.91	Fitness Melhor : 1000	
Geração : 226	Fitness : -251.98	Fitness Melhor : 1000	
Geração : 227	Fitness : -120.55	Fitness Melhor : 1000	
Geração : 228	Fitness : -151.02	Fitness Melhor : 1000	
Geração : 229	Fitness : 7.82	Fitness Melhor : 1000	
Geração : 230	Fitness : -158.31	Fitness Melhor : 1000	
Geração : 231	Fitness : 3.0	Fitness Melhor : 1000	
Geração : 232	Fitness : -183.62	Fitness Melhor : 1000	
Geração : 233	Fitness : -192.94	Fitness Melhor : 1000	
Geração : 234	Fitness : -139.44	Fitness Melhor : 1000	
Geração : 235	Fitness : -89.41	Fitness Melhor : 1000	
Geração : 236	Fitness : -67.8	Fitness Melhor : 1000	
Geração : 237	Fitness : -169.42	Fitness Melhor : 1000	
Geração : 238	Fitness : -105.45	Fitness Melhor : 1000	
Geração : 239	Fitness : -111.49	Fitness Melhor : 1000	
Geração : 240	Fitness : -102.82	Fitness Melhor : 1000	
Geração : 241	Fitness : -96.34	Fitness Melhor : 1000	
Geração : 242	Fitness : -121.84	Fitness Melhor : 1000	
Geração : 243	Fitness : -259.37	Fitness Melhor : 1000	
Geração : 244	Fitness : -290.78	Fitness Melhor : 1000	
Geração : 245	Fitness : -184.03	Fitness Melhor : 1000	
Geração : 246	Fitness : -57.66	Fitness Melhor : 1000	
Geração : 247	Fitness : -20.62	Fitness Melhor : 1000	
Geração : 248	Fitness : -166.97	Fitness Melhor : 1000	
Geração : 249	Fitness : -107.08	Fitness Melhor : 1000	
Geração : 250	Fitness : -95.02	Fitness Melhor : 1000	
Geração : 251	Fitness : -127.29	Fitness Melhor : 1000	
Geração : 252	Fitness : 13.45	Fitness Melhor : 1000	
Geração : 253	Fitness : -191.6	Fitness Melhor : 1000	
Geração : 254	Fitness : -73.56	Fitness Melhor : 1000	
Geração : 255	Fitness : -121.77	Fitness Melhor : 1000	
Geração : 256	Fitness : -160.99	Fitness Melhor : 1000	
Geração : 257	Fitness : -116.63	Fitness Melhor : 1000	
Geração : 258	Fitness : -80.07	Fitness Melhor : 1000	
Geração : 259	Fitness : -89.4	Fitness Melhor : 1000	
Geração : 260	Fitness : -222.85	Fitness Melhor : 1000	
Geração : 261	Fitness : -177.86	Fitness Melhor : 1000	
Geração : 262	Fitness : -153.01	Fitness Melhor : 1000	
Geração : 263	Fitness : -114.47	Fitness Melhor : 1000	
Geração : 264	Fitness : -29.19	Fitness Melhor : 1000	
Geração : 265	Fitness : -190.98	Fitness Melhor : 1000	
Geração : 266	Fitness : -196.38	Fitness Melhor : 1000	
Geração : 267	Fitness : -220.64	Fitness Melhor : 1000	
Geração : 268	Fitness : -165.29	Fitness Melhor : 1000	
Geração : 269	Fitness : 8.93	Fitness Melhor : 1000	
Geração : 270	Fitness : -234.02	Fitness Melhor : 1000	
Geração : 271	Fitness : -267.84	Fitness Melhor : 1000	
Geração : 272	Fitness : -103.67	Fitness Melhor : 1000	
Geração : 273	Fitness : -101.66	Fitness Melhor : 1000	
Geração : 274	Fitness : -96.21	Fitness Melhor : 1000	
Geração : 275	Fitness : -78.35	Fitness Melhor : 1000	
Geração : 276	Fitness : -187.15	Fitness Melhor : 1000	
Geração : 277	Fitness : -203.64	Fitness Melhor : 1000	
Geração : 278	Fitness : -87.26	Fitness Melhor : 1000	
Geração : 279	Fitness : -96.64	Fitness Melhor : 1000	
Geração : 280	Fitness : -106.99	Fitness Melhor : 1000	
Geração : 281	Fitness : -67.6	Fitness Melhor : 1000	
Geração : 282	Fitness : -70.43	Fitness Melhor : 1000	
Geração : 283	Fitness : -103.04	Fitness Melhor : 1000	
Geração : 284	Fitness : -105.18	Fitness Melhor : 1000	
Geração : 285	Fitness : -154.73	Fitness Melhor : 1000	
Geração : 286	Fitness : -229.65	Fitness Melhor : 1000	
Geração : 287	Fitness : -266.35	Fitness Melhor : 1000	
Geração : 288	Fitness : -186.19	Fitness Melhor : 1000	
Geração : 289	Fitness : -120.27	Fitness Melhor : 1000	
Geração : 290	Fitness : 15.77	Fitness Melhor : 1000	
Geração : 291	Fitness : -119.25	Fitness Melhor : 1000	
Geração : 292	Fitness : -135.87	Fitness Melhor : 1000	
Geração : 293	Fitness : -86.16	Fitness Melhor : 1000	
Geração : 294	Fitness : -147.12	Fitness Melhor : 1000	
Geração : 295	Fitness : -147.32	Fitness Melhor : 1000	
Geração : 296	Fitness : -73.94	Fitness Melhor : 1000	
Geração : 297	Fitness : 48.08	Fitness Melhor : 1000	
Geração : 298	Fitness : 0.59	Fitness Melhor : 1000	
Geração : 299	Fitness : -6.72	Fitness Melhor : 1000	
Geração : 300	Fitness : -100.25	Fitness Melhor : 1000	
Geração : 301	Fitness : -134.9	Fitness Melhor : 1000	
Geração : 302	Fitness : -230.18	Fitness Melhor : 1000	
Geração : 303	Fitness : -254.78	Fitness Melhor : 1000	
Geração : 304	Fitness : -222.45	Fitness Melhor : 1000	
Geração : 305	Fitness : -95.16	Fitness Melhor : 1000	
Geração : 306	Fitness : -162.86	Fitness Melhor : 1000	
Geração : 307	Fitness : -38.05	Fitness Melhor : 1000	
Geração : 308	Fitness : -176.6	Fitness Melhor : 1000	
Geração : 309	Fitness : -132.88	Fitness Melhor : 1000	
Geração : 310	Fitness : -125.42	Fitness Melhor : 1000	
Geração : 311	Fitness : -82.3	Fitness Melhor : 1000	
Geração : 312	Fitness : -193.27	Fitness Melhor : 1000	
Geração : 313	Fitness : -189.83	Fitness Melhor : 1000	
Geração : 314	Fitness : -76.22	Fitness Melhor : 1000	
Geração : 315	Fitness : -250.9	Fitness Melhor : 1000	
Geração : 316	Fitness : -101.55	Fitness Melhor : 1000	
Geração : 317	Fitness : -126.46	Fitness Melhor : 1000	
Geração : 318	Fitness : -160.04	Fitness Melhor : 1000	
Geração : 319	Fitness : -164.96	Fitness Melhor : 1000	
Geração : 320	Fitness : -145.79	Fitness Melhor : 1000	
Geração : 321	Fitness : -38.94	Fitness Melhor : 1000	
Geração : 322	Fitness : -132.23	Fitness Melhor : 1000	
Geração : 323	Fitness : -126.55	Fitness Melhor : 1000	
Geração : 324	Fitness : -213.47	Fitness Melhor : 1000	
Geração : 325	Fitness : -98.16	Fitness Melhor : 1000	
Geração : 326	Fitness : -228.36	Fitness Melhor : 1000	
Geração : 327	Fitness : -114.29	Fitness Melhor : 1000	
Geração : 328	Fitness : -211.81	Fitness Melhor : 1000	
Geração : 329	Fitness : -125.49	Fitness Melhor : 1000	
Geração : 330	Fitness : -145.97	Fitness Melhor : 1000	
Geração : 331	Fitness : -57.36	Fitness Melhor : 1000	
Geração : 332	Fitness : -105.71	Fitness Melhor : 1000	
Geração : 333	Fitness : -102.68	Fitness Melhor : 1000	
Geração : 334	Fitness : -232.84	Fitness Melhor : 1000	
Geração : 335	Fitness : -205.45	Fitness Melhor : 1000	
Geração : 336	Fitness : -150.87	Fitness Melhor : 1000	
Geração : 337	Fitness : -135.31	Fitness Melhor : 1000	
Geração : 338	Fitness : -44.09	Fitness Melhor : 1000	
Geração : 339	Fitness : -67.79	Fitness Melhor : 1000	
Geração : 340	Fitness : -87.68	Fitness Melhor : 1000	
Geração : 341	Fitness : -155.05	Fitness Melhor : 1000	
Geração : 342	Fitness : -158.29	Fitness Melhor : 1000	
Geração : 343	Fitness : -122.92	Fitness Melhor : 1000	
Geração : 344	Fitness : -213.59	Fitness Melhor : 1000	
Geração : 345	Fitness : -107.55	Fitness Melhor : 1000	
